region,year,service,degree.days,nodeInput,building.node.input,CI
Northwest Arctic Borough,2057,resid heating modern,13836.795646641,resid,resid_building,Ref
Northwest Arctic Borough,2058,resid cooling modern,3.55319721249781,resid,resid_building,Ref
Northwest Arctic Borough,2058,resid heating modern,14509.2824499898,resid,resid_building,Ref
Northwest Arctic Borough,2059,resid cooling modern,0.323058760189306,resid,resid_building,Ref
Northwest Arctic Borough,2059,resid heating modern,14396.1036694233,resid,resid_building,Ref
Northwest Arctic Borough,2060,resid cooling modern,0.12106819980528,resid,resid_building,Ref
Northwest Arctic Borough,2060,resid heating modern,13773.9622023109,resid,resid_building,Ref
Northwest Arctic Borough,2061,resid cooling modern,2.06461256885389,resid,resid_building,Ref
Northwest Arctic Borough,2061,resid heating modern,12864.985232443,resid,resid_building,Ref
Northwest Arctic Borough,2062,resid cooling modern,1.82449093908101,resid,resid_building,Ref
Northwest Arctic Borough,2062,resid heating modern,12684.4310599867,resid,resid_building,Ref
Northwest Arctic Borough,2063,resid cooling modern,0.128924917593328,resid,resid_building,Ref
Northwest Arctic Borough,2063,resid heating modern,13367.2988297212,resid,resid_building,Ref
Northwest Arctic Borough,2064,resid cooling modern,13.6161681720354,resid,resid_building,Ref
Northwest Arctic Borough,2064,resid heating modern,12440.0464874129,resid,resid_building,Ref
Northwest Arctic Borough,2065,resid cooling modern,0.03549838703766,resid,resid_building,Ref
Northwest Arctic Borough,2065,resid heating modern,14448.0821735134,resid,resid_building,Ref
Northwest Arctic Borough,2066,resid cooling modern,4.67039035466612,resid,resid_building,Ref
Northwest Arctic Borough,2066,resid heating modern,13368.1479977267,resid,resid_building,Ref
Northwest Arctic Borough,2067,resid cooling modern,1.05165407289271,resid,resid_building,Ref
Northwest Arctic Borough,2067,resid heating modern,13242.4027790985,resid,resid_building,Ref
Northwest Arctic Borough,2068,resid cooling modern,5.59404580333302,resid,resid_building,Ref
Northwest Arctic Borough,2068,resid heating modern,13218.4552264136,resid,resid_building,Ref
Northwest Arctic Borough,2069,resid cooling modern,0.1499314691344,resid,resid_building,Ref
Northwest Arctic Borough,2069,resid heating modern,13797.6480735356,resid,resid_building,Ref
Northwest Arctic Borough,2070,resid cooling modern,0.620429317410808,resid,resid_building,Ref
Northwest Arctic Borough,2070,resid heating modern,12780.6001408868,resid,resid_building,Ref
North Slope Borough,2016,resid cooling modern,0.795094731524049,resid,resid_building,LowC
North Slope Borough,2016,resid heating modern,17566.399417896,resid,resid_building,LowC
North Slope Borough,2017,resid cooling modern,0.629955654179586,resid,resid_building,LowC
North Slope Borough,2017,resid heating modern,17462.2379298894,resid,resid_building,LowC
North Slope Borough,2018,resid cooling modern,0.815654700394274,resid,resid_building,LowC
North Slope Borough,2018,resid heating modern,16478.1308484181,resid,resid_building,LowC
North Slope Borough,2019,resid cooling modern,0.896954210802378,resid,resid_building,LowC
North Slope Borough,2019,resid heating modern,15566.1211845898,resid,resid_building,LowC
North Slope Borough,2020,resid cooling modern,1.2856366197487,resid,resid_building,LowC
North Slope Borough,2020,resid heating modern,16500.4661951815,resid,resid_building,LowC
North Slope Borough,2021,resid cooling modern,0.0310010151363052,resid,resid_building,LowC
North Slope Borough,2021,resid heating modern,16017.0644331826,resid,resid_building,LowC
North Slope Borough,2022,resid cooling modern,1.74866171273881,resid,resid_building,LowC
North Slope Borough,2022,resid heating modern,16519.5268221494,resid,resid_building,LowC
North Slope Borough,2023,resid cooling modern,0.0457981610993462,resid,resid_building,LowC
North Slope Borough,2023,resid heating modern,17777.750063161,resid,resid_building,LowC
North Slope Borough,2024,resid cooling modern,0.847453299600247,resid,resid_building,LowC
North Slope Borough,2024,resid heating modern,16246.9619735562,resid,resid_building,LowC
