Units,scenario,service,group,subsector,technology,year,value,region
1975$/GJ,Ref_e3,resid heating modern,d1,refined liquids,fuel furnace,2045,18.06892776465154,Northwest Arctic Borough
1975$/GJ,Ref_e3,resid heating modern,d1,refined liquids,fuel furnace,2050,7.885336720891076,North Slope Borough
1975$/GJ,Ref_e3,resid heating modern,d1,refined liquids,fuel furnace,2050,18.121827764651542,Northwest Arctic Borough
1975$/GJ,Ref_e3,resid heating modern,d1,refined liquids,fuel furnace,2055,7.799436720891076,North Slope Borough
1975$/GJ,Ref_e3,resid heating modern,d1,refined liquids,fuel furnace,2055,18.03592776465154,Northwest Arctic Borough
1975$/GJ,Ref_e3,resid heating modern,d1,refined liquids,fuel furnace,2060,7.807136720891076,North Slope Borough
1975$/GJ,Ref_e3,resid heating modern,d1,refined liquids,fuel furnace,2060,18.04362776465154,Northwest Arctic Borough
1975$/GJ,Ref_e3,resid heating modern,d1,refined liquids,fuel furnace,2065,7.806936720891076,North Slope Borough
1975$/GJ,Ref_e3,resid heating modern,d1,refined liquids,fuel furnace,2065,18.04342776465154,Northwest Arctic Borough
1975$/GJ,Ref_e3,resid heating modern,d1,refined liquids,fuel furnace,2070,7.878236720891077,North Slope Borough
1975$/GJ,Ref_e3,resid heating modern,d1,refined liquids,fuel furnace,2070,18.11472776465154,Northwest Arctic Borough
1975$/GJ,Ref_e3,resid heating modern,d1,refined liquids,fuel furnace,2075,7.879836720891077,North Slope Borough
1975$/GJ,Ref_e3,resid heating modern,d1,refined liquids,fuel furnace,2075,18.116327764651544,Northwest Arctic Borough
1975$/GJ,Ref_e3,resid heating modern,d1,refined liquids,fuel furnace,2080,7.828736720891077,North Slope Borough
1975$/GJ,Ref_e3,resid heating modern,d1,refined liquids,fuel furnace,2080,18.065227764651542,Northwest Arctic Borough
1975$/GJ,Ref_e3,resid heating modern,d1,refined liquids,fuel furnace,2085,7.7137367208910765,North Slope Borough
1975$/GJ,Ref_e3,resid heating modern,d1,refined liquids,fuel furnace,2085,17.950227764651544,Northwest Arctic Borough
1975$/GJ,Ref_e3,resid heating modern,d1,refined liquids,fuel furnace,2090,7.561436720891076,North Slope Borough
1975$/GJ,Ref_e3,resid heating modern,d1,refined liquids,fuel furnace,2090,17.79792776465154,Northwest Arctic Borough
1975$/GJ,Ref_e3,resid heating modern,d1,refined liquids,fuel furnace,2095,7.372136720891077,North Slope Borough
1975$/GJ,Ref_e3,resid heating modern,d1,refined liquids,fuel furnace,2095,17.608627764651544,Northwest Arctic Borough
1975$/GJ,Ref_e3,resid heating modern,d1,refined liquids,fuel furnace,2100,7.138436720891076,North Slope Borough
1975$/GJ,Ref_e3,resid heating modern,d1,refined liquids,fuel furnace,2100,17.37492776465154,Northwest Arctic Borough
1975$/GJ,Ref_e4,resid heating modern,d1,refined liquids,fuel furnace,1975,1.7686667208910762,North Slope Borough
1975$/GJ,Ref_e4,resid heating modern,d1,refined liquids,fuel furnace,1975,12.005157764651543,Northwest Arctic Borough
1975$/GJ,Ref_e4,resid heating modern,d1,refined liquids,fuel furnace,1990,3.5859667208910766,North Slope Borough
1975$/GJ,Ref_e4,resid heating modern,d1,refined liquids,fuel furnace,1990,13.822457764651542,Northwest Arctic Borough
1975$/GJ,Ref_e4,resid heating modern,d1,refined liquids,fuel furnace,2005,3.8450267208910764,North Slope Borough
1975$/GJ,Ref_e4,resid heating modern,d1,refined liquids,fuel furnace,2005,14.081517764651542,Northwest Arctic Borough
1975$/GJ,Ref_e4,resid heating modern,d1,refined liquids,fuel furnace,2010,6.970236720891076,North Slope Borough
1975$/GJ,Ref_e4,resid heating modern,d1,refined liquids,fuel furnace,2010,17.20672776465154,Northwest Arctic Borough
1975$/GJ,Ref_e4,resid heating modern,d1,refined liquids,fuel furnace,2015,7.980436720891077,North Slope Borough
