# internal.gains.scalar = exogenous scalar * degree.days / exogenous degree day norm
region,gcam.consumer,nodeInput,building.node.input,thermal.building.service.input,internal.gains.scalar
CA,resid_d8,resid,resid_building,resid heating TradBio_d8,-483
CA,resid_d9,resid,resid_building,resid heating TradBio_d9,-483
CA,resid_d10,resid,resid_building,resid heating TradBio_d10,-483
CO,resid_d1,resid,resid_building,resid cooling modern_d1,123
CO,resid_d2,resid,resid_building,resid cooling modern_d2,123
CO,resid_d3,resid,resid_building,resid cooling modern_d3,123
CO,resid_d4,resid,resid_building,resid cooling modern_d4,123
CO,resid_d5,resid,resid_building,resid cooling modern_d5,123
CO,resid_d6,resid,resid_building,resid cooling modern_d6,123
CO,resid_d7,resid,resid_building,resid cooling modern_d7,123
CO,resid_d8,resid,resid_building,resid cooling modern_d8,123
CO,resid_d9,resid,resid_building,resid cooling modern_d9,123
CO,resid_d10,resid,resid_building,resid cooling modern_d10,123
CO,resid_d1,resid,resid_building,resid heating coal_d1,-1451
CO,resid_d2,resid,resid_building,resid heating coal_d2,-1451
CO,resid_d3,resid,resid_building,resid heating coal_d3,-1451
CO,resid_d4,resid,resid_building,resid heating coal_d4,-1451
CO,resid_d5,resid,resid_building,resid heating coal_d5,-1451
CO,resid_d6,resid,resid_building,resid heating coal_d6,-1451
CO,resid_d7,resid,resid_building,resid heating coal_d7,-1451
CO,resid_d8,resid,resid_building,resid heating coal_d8,-1451
CO,resid_d9,resid,resid_building,resid heating coal_d9,-1451
CO,resid_d10,resid,resid_building,resid heating coal_d10,-1451
CO,resid_d1,resid,resid_building,resid heating modern_d1,-1451
CO,resid_d2,resid,resid_building,resid heating modern_d2,-1451
CO,resid_d3,resid,resid_building,resid heating modern_d3,-1451
CO,resid_d4,resid,resid_building,resid heating modern_d4,-1451
CO,resid_d5,resid,resid_building,resid heating modern_d5,-1451
CO,resid_d6,resid,resid_building,resid heating modern_d6,-1451
CO,resid_d7,resid,resid_building,resid heating modern_d7,-1451
CO,resid_d8,resid,resid_building,resid heating modern_d8,-1451
CO,resid_d9,resid,resid_building,resid heating modern_d9,-1451
CO,resid_d10,resid,resid_building,resid heating modern_d10,-1451
CO,resid_d1,resid,resid_building,resid heating TradBio_d1,-1451
CO,resid_d2,resid,resid_building,resid heating TradBio_d2,-1451
CO,resid_d3,resid,resid_building,resid heating TradBio_d3,-1451
CO,resid_d4,resid,resid_building,resid heating TradBio_d4,-1451
CO,resid_d5,resid,resid_building,resid heating TradBio_d5,-1451
CO,resid_d6,resid,resid_building,resid heating TradBio_d6,-1451
CO,resid_d7,resid,resid_building,resid heating TradBio_d7,-1451
CO,resid_d8,resid,resid_building,resid heating TradBio_d8,-1451
CO,resid_d9,resid,resid_building,resid heating TradBio_d9,-1451
CO,resid_d10,resid,resid_building,resid heating TradBio_d10,-1451
CT,resid_d1,resid,resid_building,resid cooling modern_d1,169
CT,resid_d2,resid,resid_building,resid cooling modern_d2,169
CT,resid_d3,resid,resid_building,resid cooling modern_d3,169
CT,resid_d4,resid,resid_building,resid cooling modern_d4,169
CT,resid_d5,resid,resid_building,resid cooling modern_d5,169
CT,resid_d6,resid,resid_building,resid cooling modern_d6,169
CT,resid_d7,resid,resid_building,resid cooling modern_d7,169
CT,resid_d8,resid,resid_building,resid cooling modern_d8,169
CT,resid_d9,resid,resid_building,resid cooling modern_d9,169
CT,resid_d10,resid,resid_building,resid cooling modern_d10,169
CT,resid_d1,resid,resid_building,resid heating coal_d1,-907
CT,resid_d2,resid,resid_building,resid heating coal_d2,-907
CT,resid_d3,resid,resid_building,resid heating coal_d3,-907
CT,resid_d4,resid,resid_building,resid heating coal_d4,-907
CT,resid_d5,resid,resid_building,resid heating coal_d5,-907
CT,resid_d6,resid,resid_building,resid heating coal_d6,-907
CT,resid_d7,resid,resid_building,resid heating coal_d7,-907
CT,resid_d8,resid,resid_building,resid heating coal_d8,-907
CT,resid_d9,resid,resid_building,resid heating coal_d9,-907
CT,resid_d10,resid,resid_building,resid heating coal_d10,-907
CT,resid_d1,resid,resid_building,resid heating modern_d1,-907
