"","state","state_name","year","sce","shares","category"
"180","KY","Kentucky",2011,"Historical",0.2275343,"d10"
"181","LA","Louisiana",2011,"Historical",0.03147317,"d1"
"182","LA","Louisiana",2011,"Historical",0.04944647,"d2"
"183","LA","Louisiana",2011,"Historical",0.06072847,"d3"
"184","LA","Louisiana",2011,"Historical",0.07078957,"d4"
"185","LA","Louisiana",2011,"Historical",0.08087223,"d5"
"186","LA","Louisiana",2011,"Historical",0.0919247,"d6"
"187","LA","Louisiana",2011,"Historical",0.1050542,"d7"
"188","LA","Louisiana",2011,"Historical",0.1222355,"d8"
"189","LA","Louisiana",2011,"Historical",0.1488068,"d9"
"190","LA","Louisiana",2011,"Historical",0.2382877,"d10"
"191","MA","Massachusetts",2011,"Historical",0.02878812,"d1"
"192","MA","Massachusetts",2011,"Historical",0.04587035,"d2"
"193","MA","Massachusetts",2011,"Historical",0.05690273,"d3"
"194","MA","Massachusetts",2011,"Historical",0.06694902,"d4"
"195","MA","Massachusetts",2011,"Historical",0.07719041,"d5"
"196","MA","Massachusetts",2011,"Historical",0.08859556,"d6"
"197","MA","Massachusetts",2011,"Historical",0.102415,"d7"
"198","MA","Massachusetts",2011,"Historical",0.1209112,"d8"
"199","MA","Massachusetts",2011,"Historical",0.1504551,"d9"
"200","MA","Massachusetts",2011,"Historical",0.2617863,"d10"
"201","MD","Maryland",2011,"Historical",0.03055236,"d1"
"202","MD","Maryland",2011,"Historical",0.04822008,"d2"
"203","MD","Maryland",2011,"Historical",0.05941647,"d3"
"204","MD","Maryland",2011,"Historical",0.0694725,"d4"
"205","MD","Maryland",2011,"Historical",0.07960959,"d5"
"206","MD","Maryland",2011,"Historical",0.090783,"d6"
"207","MD","Maryland",2011,"Historical",0.1041491,"d7"
"208","MD","Maryland",2011,"Historical",0.1217814,"d8"
"209","MD","Maryland",2011,"Historical",0.149372,"d9"
"210","MD","Maryland",2011,"Historical",0.2463463,"d10"
"211","ME","Maine",2011,"Historical",0.03354402,"d1"
"212","ME","Maine",2011,"Historical",0.05220457,"d2"
"213","ME","Maine",2011,"Historical",0.06367908,"d3"
"214","ME","Maine",2011,"Historical",0.07375161,"d4"
"215","ME","Maine",2011,"Historical",0.08371184,"d5"
"216","ME","Maine",2011,"Historical",0.09449231,"d6"
"217","ME","Maine",2011,"Historical",0.1070897,"d7"
"218","ME","Maine",2011,"Historical",0.1232569,"d8"
