Source: State of Alaska Geoportal - https://gis.data.alaska.gov/maps/e08c3faedf7842b382f415511402d9d1,,,,,,,,,,
X,Y,OBJECTID,CommunityName,EntityName,ReportingSeason,ReportingDate,ReportingPeriod,ReportingYear,HFRetailGal,AsOfDate
-152.3973999,57.79309082,57,Kodiak,Petro Marine,Summer,2015/07/15 09:00:00+00,July,2015,3.45,2019/02/06 09:00:00+00
-154.7492065,59.44012451,58,Kokhanok,Kokhanok Tribal Council,Summer,2015/07/15 09:00:00+00,July,2015,8.21,2019/02/06 09:00:00+00
-163.5565186,63.03308105,59,Kotlik,Kotlik Yupik Enterprises,Summer,2015/07/15 09:00:00+00,July,2015,5.82,2019/02/06 09:00:00+00
-161.1647949,64.9307251,60,Koyuk,Koyuk Native Corporation,Summer,2015/07/15 09:00:00+00,July,2015,6.5,2019/02/06 09:00:00+00
-163.1575928,59.8770752,61,Kwigillingok,KWIK Marina Inc.,Summer,2015/07/15 09:00:00+00,July,2015,4.65,2019/02/06 09:00:00+00
-162.0881958,61.88153076,62,Marshall,Maserculiq Inc.,Summer,2015/07/15 09:00:00+00,July,2015,6.66,2019/02/06 09:00:00+00
-149.3482056,65.15228271,63,Minto,North Fork Store,Summer,2015/07/15 09:00:00+00,July,2015,3.8,2019/02/06 09:00:00+00
-161.2017822,56.00128174,64,Nelson Lagoon,Nelson Lagoon Enterprises,Summer,2015/07/15 09:00:00+00,July,2015,5.52,2019/02/06 09:00:00+00
-149.0906982,64.56268311,65,Nenana,Nenana Heating,Summer,2015/07/15 09:00:00+00,July,2015,3.83,2019/02/06 09:00:00+00
-157.3112793,59.45147705,66,New Stuyahok,New Stuyahok Village Corporation,Summer,2015/07/15 09:00:00+00,July,2015,6.58,2019/02/06 09:00:00+00
-161.046814,66.83349609,67,Noorvik,Morris Trading Post,Summer,2015/07/15 09:00:00+00,July,2015,6.56,2019/02/06 09:00:00+00
-150.9990234,70.21728516,68,Nuiqsut,Kuukpik Corporation,Summer,2015/07/15 09:00:00+00,July,2015,,2019/02/06 09:00:00+00
-162.4573975,60.89727783,69,Nunapitchuk,Nunapitchuk Ltd.,Summer,2015/07/15 09:00:00+00,July,2015,7.3,2019/02/06 09:00:00+00
-152.5039063,57.92327881,70,Ouzinkie,Ouzinkie Native Corporation,Summer,2015/07/15 09:00:00+00,July,2015,2.94,2019/02/06 09:00:00+00
-136.2296753,57.96069336,71,Pelican,Pelican Fuel,Summer,2015/07/15 09:00:00+00,July,2015,5.27,2019/02/06 09:00:00+00
-152.8834229,57.86669922,72,Port Lions,Kizhuyak Oil Sales,Summer,2015/07/15 09:00:00+00,July,2015,3.3,2019/02/06 09:00:00+00
-157.1704102,61.70269775,73,Sleetmute,Henry Hill Store,Summer,2015/07/15 09:00:00+00,July,2015,5.7,2019/02/06 09:00:00+00
-165.1071777,60.52947998,74,Toksook Bay,Nunakauiak Yupik Corporation,Summer,2015/07/15 09:00:00+00,July,2015,7,2019/02/06 09:00:00+00
-156.8770752,64.74267578,75,Galena,Crowley Marine,Winter,2011/01/15 09:00:00+00,Jan,2011,5.35,2019/02/06 09:00:00+00
-158.5479126,58.83447266,76,Clark's Point,City of Clark’s Point,Summer,2010/06/15 09:00:00+00,Jun,2010,6,2019/02/06 09:00:00+00
-161.9005127,59.75152588,77,Quinhagak,Qanirtuuq Corporation,Winter,2009/02/15 09:00:00+00,Feb,2009,7.02,2019/02/06 09:00:00+00
-132.5228271,55.68548584,78,Thorne Bay,Petro Marine,Winter,2018/01/15 09:00:00+00,Jan,2018,3.17,2019/02/06 09:00:00+00
-154.7492065,59.44012451,79,Kokhanok,Kokhanok Tribal Council,Summer,2017/07/15 09:00:00+00,July,2017,6.1,2019/02/06 09:00:00+00
-157.3112793,59.45147705,80,New Stuyahok,New Stuyahok Village Corporation,Summer,2017/07/15 09:00:00+00,July,2017,6.05,2019/02/06 09:00:00+00
-150.9990234,70.21728516,81,Nuiqsut,Kuukpik Corporation,Summer,2017/07/15 09:00:00+00,July,2017,2.3,2019/02/06 09:00:00+00
-152.5039063,57.92327881,82,Ouzinkie,Ouzinkie Native Corporation,Summer,2017/07/15 09:00:00+00,July,2017,2.83,2019/02/06 09:00:00+00
-136.2296753,57.96069336,83,Pelican,Pelican Fuel,Summer,2017/07/15 09:00:00+00,July,2017,3.3,2019/02/06 09:00:00+00
-132.9577026,56.81109619,84,Petersburg,Petro Marine,Summer,2017/07/15 09:00:00+00,July,2017,2.86,2019/02/06 09:00:00+00
-152.8834229,57.86669922,85,Port Lions,Kizhuyak Oil Sales,Summer,2017/07/15 09:00:00+00,July,2017,3.4,2019/02/06 09:00:00+00
