source: https://gis.data.alaska.gov/datasets/fa3ad93528b24f7c9ba298a68c04920d_0/explore,,,
Place,e_Pop_Total,Start_Year,End_Year
Tuntutuliak,358,2007,2011
Tununak,367,2007,2011
Twin Hills,57,2007,2011
Two Rivers,327,2007,2011
Tyonek,254,2007,2011
Ugashik,24,2007,2011
Unalakleet,692,2007,2011
Unalaska,4157,2007,2011
Upper Kalskag,231,2007,2011
Valdez,3937,2007,2011
Venetie,132,2007,2011
Wainwright,764,2007,2011
Wales,118,2007,2011
Wasilla,7678,2007,2011
Whale Pass,51,2007,2011
White Mountain,159,2007,2011
Whitestone,105,2007,2011
Whitestone Logging Camp,48,2007,2011
Whittier,233,2007,2011
Willow,1819,2007,2011
Willow Creek,46,2007,2011
Wiseman,0,2007,2011
Womens Bay,719,2007,2011
Wrangell,2353,2007,2011
Yakutat,633,2007,2011
Alaska,711139,2008,2012
Aleutians East Borough,3114,2008,2012
Aleutians West Census Area,5507,2008,2012
Anchorage,291470,2008,2012
Bethel Census Area,17184,2008,2012
Bristol Bay Borough,929,2008,2012
Denali Borough,1917,2008,2012
Dillingham Census Area,4887,2008,2012
Fairbanks North Star Borough,97523,2008,2012
Haines Borough,2500,2008,2012
Hoonah-Angoon Census Area,2153,2008,2012
Juneau,31636,2008,2012
Kenai Peninsula Borough,55474,2008,2012
Ketchikan Gateway Borough,13525,2008,2012
Kodiak Island Borough,13710,2008,2012
Lake and Peninsula Borough,1551,2008,2012
Matanuska-Susitna Borough,89319,2008,2012
Nome Census Area,9580,2008,2012
North Slope Borough,9317,2008,2012
Northwest Arctic Borough,7601,2008,2012
Petersburg Census Area,3822,2008,2012
Prince of Wales-Hyder Census Area,5603,2008,2012
Sitka,8909,2008,2012
Skagway,1050,2008,2012
Southeast Fairbanks Census Area,7039,2008,2012
Valdez-Cordova Census Area,9614,2008,2012
Kusilvak Census Area,7556,2008,2012
Wrangell,2368,2008,2012
Yakutat,644,2008,2012
Yukon-Koyukuk Census Area,5637,2008,2012
Adak,127,2008,2012
Akhiok,151,2008,2012
Akiachak,638,2008,2012
Akiak,364,2008,2012
Akutan,932,2008,2012
Alakanuk,570,2008,2012
Alatna,1,2008,2012
Alcan Border,27,2008,2012
Aleknagik,208,2008,2012
Aleneva,68,2008,2012
Allakaket,46,2008,2012
Ambler,240,2008,2012
Anaktuvuk Pass,344,2008,2012
Anchor Point,2080,2008,2012
Anchorage,291470,2008,2012
Anderson,365,2008,2012
Angoon,404,2008,2012
Aniak,526,2008,2012
Anvik,94,2008,2012
Arctic Village,104,2008,2012
Atka,87,2008,2012
Atmautluak,329,2008,2012
Atqasuk,290,2008,2012
Attu Station,17,2008,2012
Badger,20793,2008,2012
Utqiagvik,4222,2008,2012
Bear Creek,1960,2008,2012
Beaver,88,2008,2012
Beluga,53,2008,2012
Bethel,6140,2008,2012
Bettles,30,2008,2012
Big Delta,664,2008,2012
Big Lake,3636,2008,2012
Birch Creek,18,2008,2012
Brevig Mission,337,2008,2012
Buckland,527,2008,2012
Buffalo Soapstone,792,2008,2012
Butte,3458,2008,2012
Cantwell,180,2008,2012
Central,99,2008,2012
Chalkyitsik,59,2008,2012
Chase,14,2008,2012
Chefornak,489,2008,2012
Chena Ridge,5629,2008,2012
Chenega,92,2008,2012
Chevak,953,2008,2012
Chickaloon,210,2008,2012
Chicken,0,2008,2012
Chignik Lagoon,76,2008,2012
Chignik Lake,66,2008,2012
Chignik,116,2008,2012
Chiniak,27,2008,2012
Chisana,0,2008,2012
Chistochina,121,2008,2012
Chitina,118,2008,2012
Chuathbaluk,106,2008,2012
Circle,74,2008,2012
Clam Gulch,126,2008,2012
Clark's Point,72,2008,2012
Coffman Cove,91,2008,2012
Cohoe,1312,2008,2012
Cold Bay,51,2008,2012
Coldfoot,0,2008,2012
College,13849,2008,2012
Cooper Landing,302,2008,2012
Copper Center,353,2008,2012
Cordova,2441,2008,2012
Covenant Life,138,2008,2012
Craig,1268,2008,2012
Crooked Creek,152,2008,2012
Crown Point,53,2008,2012
Deering,87,2008,2012
Delta Junction,862,2008,2012
Deltana,1910,2008,2012
Diamond Ridge,1009,2008,2012
Dillingham,2161,2008,2012
Diomede,133,2008,2012
Dot Lake,0,2008,2012
Dot Lake Village,67,2008,2012
Dry Creek,40,2008,2012
Eagle Village,34,2008,2012
Eagle,93,2008,2012
Edna Bay,17,2008,2012
Eek,281,2008,2012
Egegik,47,2008,2012
