source: https://gis.data.alaska.gov/datasets/fa3ad93528b24f7c9ba298a68c04920d_0/explore,,,
Place,e_Pop_Total,Start_Year,End_Year
Primrose,73,2011,2015
Prudhoe Bay,2724,2011,2015
Quinhagak,661,2011,2015
Rampart,7,2011,2015
Red Devil,22,2011,2015
Red Dog Mine,81,2011,2015
Ridgeway,2195,2011,2015
Ruby,202,2011,2015
Russian Mission,410,2011,2015
Salamatof,1110,2011,2015
Salcha,984,2011,2015
Sand Point,1188,2011,2015
Savoonga,883,2011,2015
Saxman,401,2011,2015
Scammon Bay,488,2011,2015
Selawik,794,2011,2015
Seldovia Village,174,2011,2015
Seldovia,243,2011,2015
Seward,2710,2011,2015
Shageluk,43,2011,2015
Shaktoolik,223,2011,2015
Shishmaref,573,2011,2015
Shungnak,342,2011,2015
Silver Springs,168,2011,2015
Sitka,8943,2011,2015
Skagway,957,2011,2015
Skwentna,42,2011,2015
Slana,84,2011,2015
Sleetmute,96,2011,2015
Soldotna,4409,2011,2015
South Naknek,63,2011,2015
South Van Horn,581,2011,2015
Saint George,53,2011,2015
Saint Mary's,583,2011,2015
Saint Michael,396,2011,2015
Saint Paul,576,2011,2015
Stebbins,547,2011,2015
Steele Creek,6272,2011,2015
Sterling,6054,2011,2015
Stevens Village,25,2011,2015
Stony River,40,2011,2015
Sunrise,15,2011,2015
Susitna,0,2011,2015
Susitna North,1404,2011,2015
Sutton-Alpine,1602,2011,2015
Takotna,49,2011,2015
Talkeetna,616,2011,2015
Tanacross,127,2011,2015
Tanaina,9640,2011,2015
Tanana,277,2011,2015
Tatitlek,86,2011,2015
Tazlina,358,2011,2015
Teller,165,2011,2015
Tenakee Springs,150,2011,2015
Tetlin,121,2011,2015
Thorne Bay,566,2011,2015
Togiak,787,2011,2015
Tok,1331,2011,2015
Toksook Bay,549,2011,2015
Tolsona,0,2011,2015
Tonsina,30,2011,2015
Trapper Creek,432,2011,2015
Tuluksak,436,2011,2015
Tuntutuliak,466,2011,2015
Tununak,294,2011,2015
Twin Hills,95,2011,2015
Two Rivers,238,2011,2015
Tyonek,214,2011,2015
Ugashik,19,2011,2015
Unalakleet,710,2011,2015
Unalaska,4619,2011,2015
Upper Kalskag,284,2011,2015
Valdez,3979,2011,2015
Venetie,177,2011,2015
Wainwright,458,2011,2015
Wales,155,2011,2015
Wasilla,8676,2011,2015
Whale Pass,16,2011,2015
White Mountain,179,2011,2015
Whitestone,195,2011,2015
Whitestone Logging Camp,0,2011,2015
Whittier,295,2011,2015
Willow,2085,2011,2015
Willow Creek,8,2011,2015
Wiseman,11,2011,2015
Womens Bay,852,2011,2015
Wrangell,2387,2011,2015
Yakutat,597,2011,2015
Alaska,736855,2012,2016
Aleutians East Borough,3299,2012,2016
Aleutians West Census Area,5714,2012,2016
Anchorage,299321,2012,2016
Bethel Census Area,17885,2012,2016
Bristol Bay Borough,942,2012,2016
Denali Borough,2125,2012,2016
Dillingham Census Area,4980,2012,2016
Fairbanks North Star Borough,100150,2012,2016
Haines Borough,2528,2012,2016
Hoonah-Angoon Census Area,2107,2012,2016
Juneau,32524,2012,2016
Kenai Peninsula Borough,57637,2012,2016
Ketchikan Gateway Borough,13715,2012,2016
Kodiak Island Borough,13918,2012,2016
Kusilvak Census Area,7993,2012,2016
Lake and Peninsula Borough,1411,2012,2016
Matanuska-Susitna Borough,98679,2012,2016
Nome Census Area,9879,2012,2016
North Slope Borough,9681,2012,2016
Northwest Arctic Borough,7723,2012,2016
Petersburg Borough,3196,2012,2016
Prince of Wales-Hyder Census Area,6374,2012,2016
Sitka,8921,2012,2016
Skagway,1014,2012,2016
Southeast Fairbanks Census Area,6970,2012,2016
Valdez-Cordova Census Area,9522,2012,2016
Wrangell,2401,2012,2016
Yakutat,646,2012,2016
Yukon-Koyukuk Census Area,5600,2012,2016
Adak,122,2012,2016
Akhiok,74,2012,2016
Akiachak,584,2012,2016
Akiak,407,2012,2016
Akutan,782,2012,2016
Alakanuk,737,2012,2016
Alatna,1,2012,2016
Alcan Border,36,2012,2016
Aleknagik,189,2012,2016
Aleneva,45,2012,2016
Allakaket,105,2012,2016
Ambler,295,2012,2016
Anaktuvuk Pass,273,2012,2016
Anchor Point,2018,2012,2016
Anchorage,299321,2012,2016
Anderson,168,2012,2016
Angoon,448,2012,2016
Aniak,526,2012,2016
Anvik,86,2012,2016
Arctic Village,137,2012,2016
Atka,51,2012,2016
Atmautluak,231,2012,2016
Atqasuk,167,2012,2016
Attu Station,15,2012,2016
Badger,19830,2012,2016
Utqiagvik,4316,2012,2016
Bear Creek,1389,2012,2016
Beaver,46,2012,2016
Beluga,5,2012,2016
Bethel,6365,2012,2016
Bettles,36,2012,2016
Big Delta,577,2012,2016
Big Lake,3552,2012,2016
Birch Creek,3,2012,2016
Brevig Mission,417,2012,2016
Buckland,616,2012,2016
Buffalo Soapstone,836,2012,2016
Butte,3905,2012,2016
Cantwell,204,2012,2016
Central,42,2012,2016
Chalkyitsik,120,2012,2016
Chase,8,2012,2016
Chefornak,507,2012,2016
Chena Ridge,5744,2012,2016
Chenega,51,2012,2016
Chevak,1194,2012,2016
Chickaloon,258,2012,2016
Chicken,0,2012,2016
Chignik Lagoon,59,2012,2016
Chignik Lake,71,2012,2016
Chignik,40,2012,2016
Chiniak,0,2012,2016
Chisana,0,2012,2016
Chistochina,69,2012,2016
Chitina,76,2012,2016
Chuathbaluk,109,2012,2016
Circle,116,2012,2016
Clam Gulch,198,2012,2016
Clark's Point,47,2012,2016
Coffman Cove,180,2012,2016
Cohoe,1321,2012,2016
Cold Bay,60,2012,2016
Coldfoot,41,2012,2016
College,14372,2012,2016
Cooper Landing,489,2012,2016
Copper Center,335,2012,2016
Cordova,3047,2012,2016
Covenant Life,143,2012,2016
Craig,1257,2012,2016
Crooked Creek,65,2012,2016
Crown Point,108,2012,2016
Deering,150,2012,2016
Delta Junction,1050,2012,2016
Deltana,2409,2012,2016
Denali Park,619,2012,2016
Diamond Ridge,1201,2012,2016
Dillingham,2296,2012,2016
Diomede,55,2012,2016
Dot Lake,0,2012,2016
Dot Lake Village,65,2012,2016
Dry Creek,91,2012,2016
Eagle Village,21,2012,2016
Eagle,84,2012,2016
Edna Bay,0,2012,2016
Eek,472,2012,2016
Egegik,80,2012,2016
Eielson AFB,2826,2012,2016
Ekwok,79,2012,2016
Elfin Cove,26,2012,2016
Elim,300,2012,2016
Emmonak,808,2012,2016
Ester,2727,2012,2016
Eureka Roadhouse,0,2012,2016
Evansville,11,2012,2016
Excursion Inlet,53,2012,2016
Fairbanks,32578,2012,2016
False Pass,64,2012,2016
Farm Loop,1119,2012,2016
Farmers Loop,4517,2012,2016
Ferry,6,2012,2016
Fishhook,5866,2012,2016
Flat,0,2012,2016
Fort Greely,253,2012,2016
Fort Yukon,568,2012,2016
Four Mile Road,4,2012,2016
Fox,403,2012,2016
Fox River,625,2012,2016
Fritz Creek,2043,2012,2016
Funny River,972,2012,2016
Gakona,166,2012,2016
Galena,524,2012,2016
Gambell,690,2012,2016
Game Creek,0,2012,2016
Gateway,6061,2012,2016
Glacier View,220,2012,2016
Glennallen,192,2012,2016
Goldstream,3960,2012,2016
Golovin,132,2012,2016
Goodnews Bay,216,2012,2016
Grayling,165,2012,2016
Gulkana,74,2012,2016
Gustavus,472,2012,2016
Haines,1838,2012,2016
Halibut Cove,36,2012,2016
Happy Valley,636,2012,2016
Harding-Birch Lakes,125,2012,2016
Healy,1115,2012,2016
Healy Lake,3,2012,2016
Hobart Bay,0,2012,2016
Hollis,76,2012,2016
Holy Cross,216,2012,2016
Homer,5418,2012,2016
Hoonah,774,2012,2016
Hooper Bay,1114,2012,2016
Hope,55,2012,2016
Houston,2028,2012,2016
Hughes,83,2012,2016
Huslia,435,2012,2016
Hydaburg,291,2012,2016
Hyder,0,2012,2016
Igiugig,47,2012,2016
Iliamna,86,2012,2016
Ivanof Bay,0,2012,2016
Juneau,32524,2012,2016
Kachemak,537,2012,2016
Kake,627,2012,2016
Kaktovik,166,2012,2016
Kalifornsky,8015,2012,2016
Kaltag,152,2012,2016
Karluk,45,2012,2016
Kasaan,93,2012,2016
Kasigluk,635,2012,2016
Kasilof,407,2012,2016
Kenai,7551,2012,2016
Kenny Lake,161,2012,2016
Ketchikan,8189,2012,2016
Kiana,342,2012,2016
King Cove,1080,2012,2016
King Salmon,343,2012,2016
Kipnuk,682,2012,2016
Kivalina,671,2012,2016
Klawock,856,2012,2016
Klukwan,64,2012,2016
Knik River,757,2012,2016
Knik-Fairview,17038,2012,2016
Kobuk,137,2012,2016
Kodiak Station,1353,2012,2016
Kodiak,6272,2012,2016
Kokhanok,145,2012,2016
Koliganek,162,2012,2016
Kongiganak,446,2012,2016
Kotlik,662,2012,2016
Kotzebue,3288,2012,2016
Koyuk,261,2012,2016
Koyukuk,79,2012,2016
Kupreanof,24,2012,2016
Kwethluk,787,2012,2016
Kwigillingok,332,2012,2016
Lake Louise,7,2012,2016
Lake Minchumina,29,2012,2016
Lakes,8944,2012,2016
Larsen Bay,47,2012,2016
Lazy Mountain,1538,2012,2016
Levelock,97,2012,2016
Lime Village,3,2012,2016
Livengood,0,2012,2016
Loring,0,2012,2016
Lowell Point,138,2012,2016
Lower Kalskag,286,2012,2016
Lutak,0,2012,2016
Manley Hot Springs,82,2012,2016
Manokotak,787,2012,2016
Marshall,343,2012,2016
McCarthy,28,2012,2016
McGrath,332,2012,2016
Meadow Lakes,7694,2012,2016
Mekoryuk,191,2012,2016
Mendeltna,20,2012,2016
Mentasta Lake,181,2012,2016
Mertarvik,0,2012,2016
Metlakatla,1620,2012,2016
Minto,213,2012,2016
Moose Creek,739,2012,2016
Moose Pass,354,2012,2016
Mosquito Lake,181,2012,2016
Mountain Village,838,2012,2016
Mud Bay,197,2012,2016
Nabesna,0,2012,2016
Naknek,544,2012,2016
Nanwalek,216,2012,2016
Napakiak,404,2012,2016
Napaskiak,424,2012,2016
Naukati Bay,35,2012,2016
Nelchina,144,2012,2016
Nelson Lagoon,46,2012,2016
Nenana,373,2012,2016
New Allakaket,72,2012,2016
New Stuyahok,566,2012,2016
Newhalen,143,2012,2016
Newtok,403,2012,2016
Nightmute,233,2012,2016
Nikiski,5029,2012,2016
Nikolaevsk,257,2012,2016
Nikolai,120,2012,2016
Nikolski,30,2012,2016
Ninilchik,766,2012,2016
Noatak,403,2012,2016
Nome,3782,2012,2016
Nondalton,186,2012,2016
Noorvik,605,2012,2016
North Pole,2300,2012,2016
Northway,140,2012,2016
Northway Junction,56,2012,2016
Northway Village,98,2012,2016
Nuiqsut,347,2012,2016
Nulato,286,2012,2016
Nunam Iqua,118,2012,2016
Nunapitchuk,642,2012,2016
Old Harbor,302,2012,2016
Oscarville,26,2012,2016
Ouzinkie,189,2012,2016
Palmer,6572,2012,2016
Paxson,9,2012,2016
Pedro Bay,13,2012,2016
Pelican,79,2012,2016
Perryville,94,2012,2016
Petersburg,2996,2012,2016
Petersville,0,2012,2016
Pilot Point,49,2012,2016
Pilot Station,600,2012,2016
Pitkas Point,128,2012,2016
Platinum,28,2012,2016
Pleasant Valley,136,2012,2016
Point Baker,37,2012,2016
Point Hope,604,2012,2016
Point Lay,306,2012,2016
Point MacKenzie,600,2012,2016
Point Possession,0,2012,2016
Pope-Vannoy Landing,0,2012,2016
Port Alexander,42,2012,2016
Port Alsworth,156,2012,2016
Port Clarence,43,2012,2016
Port Graham,197,2012,2016
Port Heiden,73,2012,2016
Port Lions,240,2012,2016
Port Protection,44,2012,2016
Portage Creek,0,2012,2016
Primrose,105,2012,2016
Prudhoe Bay,2530,2012,2016
Quinhagak,729,2012,2016
Rampart,10,2012,2016
Red Devil,33,2012,2016
Red Dog Mine,76,2012,2016
Ridgeway,2338,2012,2016
Ruby,214,2012,2016
Russian Mission,401,2012,2016
Salamatof,1074,2012,2016
Salcha,1068,2012,2016
Sand Point,1248,2012,2016
Savoonga,932,2012,2016
Saxman,422,2012,2016
Scammon Bay,521,2012,2016
Selawik,807,2012,2016
Seldovia Village,175,2012,2016
Seldovia,247,2012,2016
Seward,2714,2012,2016
Shageluk,59,2012,2016
Shaktoolik,246,2012,2016
Shishmaref,539,2012,2016
Shungnak,290,2012,2016
Silver Springs,172,2012,2016
Sitka,8921,2012,2016
Skagway,972,2012,2016
Skwentna,51,2012,2016
Slana,0,2012,2016
Sleetmute,84,2012,2016
Soldotna,4471,2012,2016
South Naknek,55,2012,2016
South Van Horn,566,2012,2016
Saint George,74,2012,2016
Saint Mary's,521,2012,2016
Saint Michael,446,2012,2016
Saint Paul,525,2012,2016
Stebbins,513,2012,2016
Steele Creek,6693,2012,2016
Sterling,5661,2012,2016
Stevens Village,20,2012,2016
Stony River,45,2012,2016
Sunrise,53,2012,2016
Susitna,0,2012,2016
Susitna North,1332,2012,2016
Sutton-Alpine,1564,2012,2016
Takotna,49,2012,2016
Talkeetna,844,2012,2016
Tanacross,164,2012,2016
Tanaina,9736,2012,2016
Tanana,279,2012,2016
Tatitlek,132,2012,2016
Tazlina,322,2012,2016
Teller,163,2012,2016
Tenakee Springs,172,2012,2016
Tetlin,116,2012,2016
Thorne Bay,625,2012,2016
Togiak,771,2012,2016
Tok,1239,2012,2016
Toksook Bay,503,2012,2016
Tolsona,0,2012,2016
Tonsina,14,2012,2016
Trapper Creek,349,2012,2016
Tuluksak,431,2012,2016
Tuntutuliak,447,2012,2016
Tununak,315,2012,2016
Twin Hills,74,2012,2016
Two Rivers,343,2012,2016
Tyonek,293,2012,2016
Ugashik,14,2012,2016
Unalakleet,696,2012,2016
Unalaska,4710,2012,2016
Upper Kalskag,264,2012,2016
Valdez,3930,2012,2016
Venetie,171,2012,2016
Wainwright,488,2012,2016
Wales,166,2012,2016
Wasilla,8972,2012,2016
Whale Pass,0,2012,2016
White Mountain,168,2012,2016
Whitestone,231,2012,2016
Whitestone Logging Camp,0,2012,2016
Whittier,318,2012,2016
Willow,2081,2012,2016
Willow Creek,13,2012,2016
Wiseman,12,2012,2016
Womens Bay,923,2012,2016
Wrangell,2401,2012,2016
Yakutat,618,2012,2016
Alaska,738565,2013,2017
Aleutians East Borough,3338,2013,2017
Aleutians West Census Area,5784,2013,2017
Anchorage,298225,2013,2017
Bethel Census Area,17957,2013,2017
Bristol Bay Borough,917,2013,2017
Denali Borough,2303,2013,2017
Dillingham Census Area,4974,2013,2017
Fairbanks North Star Borough,100031,2013,2017
Haines Borough,2537,2013,2017
Hoonah-Angoon Census Area,2146,2013,2017
Juneau,32434,2013,2017
Kenai Peninsula Borough,57961,2013,2017
Ketchikan Gateway Borough,13745,2013,2017
Kodiak Island Borough,13773,2013,2017
Kusilvak Census Area,8129,2013,2017
Lake and Peninsula Borough,1301,2013,2017
Matanuska-Susitna Borough,101135,2013,2017
Nome Census Area,9869,2013,2017
North Slope Borough,9757,2013,2017
Northwest Arctic Borough,7715,2013,2017
Petersburg Borough,3275,2013,2017
Prince of Wales-Hyder Census Area,6473,2013,2017
Sitka,8810,2013,2017
Skagway,1038,2013,2017
Southeast Fairbanks Census Area,6889,2013,2017
Valdez-Cordova Census Area,9439,2013,2017
Wrangell,2475,2013,2017
Yakutat,682,2013,2017
Yukon-Koyukuk Census Area,5453,2013,2017
Adak,130,2013,2017
Akhiok,53,2013,2017
Akiachak,609,2013,2017
Akiak,397,2013,2017
Akutan,801,2013,2017
Alakanuk,735,2013,2017
Alatna,0,2013,2017
Alcan Border,65,2013,2017
Aleknagik,190,2013,2017
Aleneva,33,2013,2017
Allakaket,186,2013,2017
Ambler,299,2013,2017
Anaktuvuk Pass,290,2013,2017
Anchor Point,2057,2013,2017
Anchorage,298225,2013,2017
Anderson,143,2013,2017
Angoon,535,2013,2017
Aniak,517,2013,2017
Anvik,91,2013,2017
Arctic Village,167,2013,2017
Atka,51,2013,2017
Atmautluak,242,2013,2017
Atqasuk,172,2013,2017
Attu Station,16,2013,2017
Badger,19039,2013,2017
Utqiagvik,4383,2013,2017
Bear Creek,1512,2013,2017
Beaver,54,2013,2017
Beluga,2,2013,2017
Bethel,6408,2013,2017
Bettles,74,2013,2017
Big Delta,588,2013,2017
Big Lake,3136,2013,2017
Birch Creek,1,2013,2017
Brevig Mission,421,2013,2017
Buckland,627,2013,2017
Buffalo Soapstone,852,2013,2017
Butte,3871,2013,2017
Cantwell,201,2013,2017
Central,51,2013,2017
Chalkyitsik,119,2013,2017
Chase,8,2013,2017
Chefornak,459,2013,2017
Chena Ridge,6155,2013,2017
Chenega,41,2013,2017
Chevak,1271,2013,2017
Chickaloon,245,2013,2017
Chicken,12,2013,2017
Chignik Lagoon,63,2013,2017
Chignik Lake,57,2013,2017
Chignik,35,2013,2017
Chiniak,0,2013,2017
Chisana,0,2013,2017
Chistochina,57,2013,2017
Chitina,92,2013,2017
Chuathbaluk,109,2013,2017
Circle,108,2013,2017
Clam Gulch,176,2013,2017
Clark's Point,53,2013,2017
Coffman Cove,154,2013,2017
Cohoe,1288,2013,2017
Cold Bay,56,2013,2017
Coldfoot,84,2013,2017
College,14362,2013,2017
Cooper Landing,568,2013,2017
Copper Center,397,2013,2017
Cordova,3175,2013,2017
Covenant Life,36,2013,2017
Craig,1285,2013,2017
Crooked Creek,90,2013,2017
Crown Point,96,2013,2017
Deering,152,2013,2017
Delta Junction,929,2013,2017
Deltana,2635,2013,2017
Denali Park,834,2013,2017
Diamond Ridge,1193,2013,2017
Dillingham,2209,2013,2017
Diomede,76,2013,2017
Dot Lake,0,2013,2017
Dot Lake Village,52,2013,2017
Dry Creek,90,2013,2017
Eagle Village,22,2013,2017
Eagle,74,2013,2017
Edna Bay,28,2013,2017
Eek,474,2013,2017
Egegik,69,2013,2017
Eielson AFB,3025,2013,2017
Ekwok,88,2013,2017
Elfin Cove,25,2013,2017
Elim,296,2013,2017
Emmonak,763,2013,2017
Ester,1889,2013,2017
Eureka Roadhouse,0,2013,2017
Evansville,9,2013,2017
Excursion Inlet,46,2013,2017
Fairbanks,31853,2013,2017
False Pass,68,2013,2017
Farm Loop,1113,2013,2017
Farmers Loop,5092,2013,2017
Ferry,13,2013,2017
Fishhook,6040,2013,2017
Flat,0,2013,2017
Fort Greely,207,2013,2017
Fort Yukon,560,2013,2017
Four Mile Road,0,2013,2017
Fox,311,2013,2017
Fox River,540,2013,2017
Fritz Creek,2036,2013,2017
Funny River,1026,2013,2017
Gakona,115,2013,2017
Galena,473,2013,2017
Gambell,693,2013,2017
Game Creek,0,2013,2017
Gateway,6694,2013,2017
Glacier View,228,2013,2017
Glennallen,220,2013,2017
Goldstream,3987,2013,2017
Golovin,123,2013,2017
Goodnews Bay,210,2013,2017
Grayling,165,2013,2017
Gulkana,13,2013,2017
Gustavus,386,2013,2017
Haines,1837,2013,2017
Halibut Cove,17,2013,2017
Happy Valley,624,2013,2017
Harding-Birch Lakes,121,2013,2017
Healy,1098,2013,2017
Healy Lake,4,2013,2017
Hobart Bay,0,2013,2017
Hollis,142,2013,2017
Holy Cross,202,2013,2017
Homer,5510,2013,2017
Hoonah,828,2013,2017
Hooper Bay,1153,2013,2017
Hope,11,2013,2017
Houston,2068,2013,2017
Hughes,77,2013,2017
Huslia,397,2013,2017
Hydaburg,306,2013,2017
Hyder,0,2013,2017
Igiugig,46,2013,2017
Iliamna,65,2013,2017
Ivanof Bay,0,2013,2017
Juneau,32434,2013,2017
Kachemak,504,2013,2017
Kake,614,2013,2017
Kaktovik,181,2013,2017
Kalifornsky,8588,2013,2017
Kaltag,165,2013,2017
Karluk,40,2013,2017
Kasaan,89,2013,2017
Kasigluk,655,2013,2017
Kasilof,483,2013,2017
Kenai,7634,2013,2017
Kenny Lake,0,2013,2017
Ketchikan,8195,2013,2017
Kiana,284,2013,2017
King Cove,1003,2013,2017
King Salmon,361,2013,2017
Kipnuk,659,2013,2017
Kivalina,678,2013,2017
Klawock,865,2013,2017
Klukwan,62,2013,2017
Knik River,753,2013,2017
Knik-Fairview,17203,2013,2017
Kobuk,152,2013,2017
Kodiak Station,1364,2013,2017
Kodiak,6168,2013,2017
Kokhanok,149,2013,2017
Koliganek,170,2013,2017
Kongiganak,437,2013,2017
Kotlik,726,2013,2017
Kotzebue,3276,2013,2017
Koyuk,248,2013,2017
Koyukuk,54,2013,2017
Kupreanof,12,2013,2017
Kwethluk,705,2013,2017
Kwigillingok,349,2013,2017
Lake Louise,8,2013,2017
Lake Minchumina,20,2013,2017
Lakes,9424,2013,2017
Larsen Bay,42,2013,2017
Lazy Mountain,1732,2013,2017
Levelock,95,2013,2017
Lime Village,6,2013,2017
Livengood,0,2013,2017
Loring,0,2013,2017
Lowell Point,205,2013,2017
Lower Kalskag,327,2013,2017
Lutak,147,2013,2017
Manley Hot Springs,77,2013,2017
Manokotak,789,2013,2017
Marshall,337,2013,2017
McCarthy,0,2013,2017
McGrath,319,2013,2017
Meadow Lakes,7665,2013,2017
Mekoryuk,217,2013,2017
Mendeltna,0,2013,2017
Mentasta Lake,198,2013,2017
Mertarvik,0,2013,2017
Metlakatla,1639,2013,2017
Minto,223,2013,2017
Moose Creek,652,2013,2017
Moose Pass,282,2013,2017
Mosquito Lake,239,2013,2017
Mountain Village,820,2013,2017
Mud Bay,121,2013,2017
Nabesna,0,2013,2017
Naknek,509,2013,2017
Nanwalek,231,2013,2017
Napakiak,371,2013,2017
Napaskiak,377,2013,2017
Naukati Bay,62,2013,2017
Nelchina,125,2013,2017
Nelson Lagoon,54,2013,2017
Nenana,368,2013,2017
New Stuyahok,566,2013,2017
Newhalen,114,2013,2017
Newtok,372,2013,2017
Nightmute,212,2013,2017
Nikiski,4728,2013,2017
Nikolaevsk,279,2013,2017
Nikolai,123,2013,2017
Nikolski,25,2013,2017
Ninilchik,741,2013,2017
Noatak,424,2013,2017
Nome,3793,2013,2017
Nondalton,110,2013,2017
Noorvik,579,2013,2017
North Pole,2319,2013,2017
Northway,135,2013,2017
Northway Junction,38,2013,2017
Northway Village,70,2013,2017
Nuiqsut,395,2013,2017
Nulato,276,2013,2017
Nunam Iqua,134,2013,2017
Nunapitchuk,726,2013,2017
Old Harbor,290,2013,2017
Oscarville,36,2013,2017
Ouzinkie,171,2013,2017
Palmer,6773,2013,2017
Paxson,10,2013,2017
Pedro Bay,18,2013,2017
Pelican,73,2013,2017
Perryville,98,2013,2017
Petersburg,3087,2013,2017
Petersville,0,2013,2017
Pilot Point,58,2013,2017
Pilot Station,636,2013,2017
Pitkas Point,125,2013,2017
Platinum,15,2013,2017
Pleasant Valley,360,2013,2017
Point Baker,22,2013,2017
Point Hope,629,2013,2017
Point Lay,273,2013,2017
Point MacKenzie,727,2013,2017
Point Possession,0,2013,2017
Pope-Vannoy Landing,0,2013,2017
Port Alexander,60,2013,2017
Port Alsworth,157,2013,2017
Port Clarence,43,2013,2017
Port Graham,189,2013,2017
Port Heiden,60,2013,2017
Port Lions,214,2013,2017
Port Protection,37,2013,2017
Portage Creek,0,2013,2017
Primrose,160,2013,2017
Prudhoe Bay,2094,2013,2017
Quinhagak,763,2013,2017
Rampart,36,2013,2017
Red Devil,21,2013,2017
Red Dog Mine,79,2013,2017
Ridgeway,2195,2013,2017
Ruby,188,2013,2017
Russian Mission,348,2013,2017
Salamatof,1055,2013,2017
Salcha,1080,2013,2017
Sand Point,1332,2013,2017
Savoonga,932,2013,2017
Saxman,377,2013,2017
Scammon Bay,537,2013,2017
Selawik,813,2013,2017
Seldovia Village,180,2013,2017
Seldovia,238,2013,2017
Seward,2748,2013,2017
Shageluk,63,2013,2017
Shaktoolik,282,2013,2017
Shishmaref,522,2013,2017
Shungnak,280,2013,2017
Silver Springs,155,2013,2017
Sitka,8810,2013,2017
Skagway,996,2013,2017
Skwentna,57,2013,2017
Slana,0,2013,2017
Sleetmute,85,2013,2017
Soldotna,4516,2013,2017
South Naknek,47,2013,2017
South Van Horn,496,2013,2017
Saint George,85,2013,2017
Saint Mary's,538,2013,2017
Saint Michael,441,2013,2017
Saint Paul,480,2013,2017
Stebbins,500,2013,2017
Steele Creek,7571,2013,2017
Sterling,5387,2013,2017
Stevens Village,10,2013,2017
Stony River,36,2013,2017
Sunrise,39,2013,2017
Susitna,0,2013,2017
Susitna North,908,2013,2017
Sutton-Alpine,1647,2013,2017
Takotna,40,2013,2017
Talkeetna,946,2013,2017
Tanacross,133,2013,2017
Tanaina,10512,2013,2017
Tanana,243,2013,2017
Tatitlek,121,2013,2017
Tazlina,300,2013,2017
Teller,184,2013,2017
Tenakee Springs,147,2013,2017
Tetlin,173,2013,2017
Thorne Bay,571,2013,2017
Togiak,749,2013,2017
Tok,1197,2013,2017
Toksook Bay,527,2013,2017
Tolsona,0,2013,2017
Tonsina,10,2013,2017
Trapper Creek,389,2013,2017
Tuluksak,434,2013,2017
Tuntutuliak,477,2013,2017
Tununak,301,2013,2017
Twin Hills,83,2013,2017
Two Rivers,461,2013,2017
Tyonek,326,2013,2017
Ugashik,11,2013,2017
Unalakleet,685,2013,2017
Unalaska,4809,2013,2017
Upper Kalskag,255,2013,2017
Valdez,3921,2013,2017
Venetie,164,2013,2017
Wainwright,513,2013,2017
Wales,159,2013,2017
Wasilla,9296,2013,2017
Whale Pass,13,2013,2017
White Mountain,173,2013,2017
Whitestone,113,2013,2017
Whitestone Logging Camp,0,2013,2017
Whittier,446,2013,2017
Willow,2121,2013,2017
Willow Creek,0,2013,2017
Wiseman,9,2013,2017
Womens Bay,869,2013,2017
Wrangell,2475,2013,2017
Yakutat,653,2013,2017
Alaska,738516,2014,2018
Aleutians East Borough,3425,2014,2018
Aleutians West Census Area,5750,2014,2018
Anchorage,296112,2014,2018
Bethel Census Area,18040,2014,2018
Bristol Bay Borough,890,2014,2018
Denali Borough,2232,2014,2018
Dillingham Census Area,4975,2014,2018
Fairbanks North Star Borough,99653,2014,2018
Haines Borough,2518,2014,2018
Hoonah-Angoon Census Area,2132,2014,2018
Juneau,32330,2014,2018
Kenai Peninsula Borough,58220,2014,2018
Ketchikan Gateway Borough,13804,2014,2018
Kodiak Island Borough,13649,2014,2018
Kusilvak Census Area,8198,2014,2018
Lake and Peninsula Borough,1375,2014,2018
Matanuska-Susitna Borough,103464,2014,2018
Nome Census Area,9925,2014,2018
North Slope Borough,9797,2014,2018
Northwest Arctic Borough,7734,2014,2018
Petersburg Borough,3255,2014,2018
Prince of Wales-Hyder Census Area,6474,2014,2018
Sitka,8738,2014,2018
Skagway,1061,2014,2018
Southeast Fairbanks Census Area,6876,2014,2018
Valdez-Cordova Census Area,9301,2014,2018
Wrangell,2484,2014,2018
Yakutat,689,2014,2018
Yukon-Koyukuk Census Area,5415,2014,2018
Adak,203,2014,2018
Akhiok,57,2014,2018
Akiachak,567,2014,2018
Akiak,416,2014,2018
Akutan,758,2014,2018
Alakanuk,837,2014,2018
Alatna,4,2014,2018
Alcan Border,177,2014,2018
Aleknagik,204,2014,2018
Aleneva,27,2014,2018
Allakaket,170,2014,2018
Ambler,299,2014,2018
Anaktuvuk Pass,274,2014,2018
Anchor Point,2093,2014,2018
Anchorage,296112,2014,2018
Anderson,137,2014,2018
Angoon,523,2014,2018
Aniak,525,2014,2018
Anvik,104,2014,2018
Arctic Village,153,2014,2018
Atka,35,2014,2018
Atmautluak,209,2014,2018
Atqasuk,164,2014,2018
Attu Station,17,2014,2018
Badger,18792,2014,2018
Bear Creek,1465,2014,2018
Beaver,46,2014,2018
Beluga,4,2014,2018
Bethel,6424,2014,2018
Bettles,66,2014,2018
Big Delta,457,2014,2018
Big Lake,2765,2014,2018
Birch Creek,2,2014,2018
Brevig Mission,407,2014,2018
Buckland,608,2014,2018
Buffalo Soapstone,871,2014,2018
Butte,3929,2014,2018
Cantwell,183,2014,2018
Central,47,2014,2018
Chalkyitsik,115,2014,2018
Chase,9,2014,2018
Chefornak,501,2014,2018
Chena Ridge,5903,2014,2018
