scenario,region,service,year,price,group,shares,gdppc_gm,gdppc,afford,afford_unit,satiation.impedance,satiation.gap
R_01a_BAU,ID,resid heating modern,2015,7.06709,d3,0.06574037,24.2829,15.96366831,1021.190934,GJ,303.3352397,0.096954901
R_01a_BAU,ID,resid heating modern,2015,7.06709,d4,0.07398269,24.2829,17.96514263,1149.224629,GJ,303.3352397,0.072361754
R_01a_BAU,ID,resid heating modern,2015,7.06709,d5,0.08186151,24.2829,19.87834861,1271.611825,GJ,303.3352397,0.054708145
R_01a_BAU,ID,resid heating modern,2015,7.06709,d6,0.09035786,24.2829,21.94150879,1403.591545,GJ,303.3352397,0.040464602
R_01a_BAU,ID,resid heating modern,2015,7.06709,d7,0.1005477,24.2829,24.41589744,1561.877423,GJ,303.3352397,0.02818333
R_01a_BAU,ID,resid heating modern,2015,7.06709,d8,0.1142479,24.2829,27.74270331,1774.692168,GJ,303.3352397,0.017329853
R_01a_BAU,ID,resid heating modern,2015,7.06709,d9,0.1380969,24.2829,33.53393213,2145.155288,GJ,303.3352397,0.007432709
R_01a_BAU,ID,resid heating modern,2015,7.06709,d10,0.2420643,24.2829,58.7802319,3760.153292,GJ,303.3352397,0.000185534
R_01a_BAU,IL,resid heating modern,2015,6.40342,d1,0.03359383,36.5922,12.29272146,867.8625146,GJ,491.5822553,0.294135496
R_01a_BAU,IL,resid heating modern,2015,6.40342,d2,0.04994814,36.5922,18.27712329,1290.359521,GJ,491.5822553,0.162114979
R_01a_BAU,IL,resid heating modern,2015,6.40342,d3,0.05956755,36.5922,21.79707703,1538.867219,GJ,491.5822553,0.114194346
R_01a_BAU,IL,resid heating modern,2015,6.40342,d4,0.06796812,36.5922,24.87103041,1755.887421,GJ,491.5822553,0.084090714
R_01a_BAU,IL,resid heating modern,2015,6.40342,d5,0.07630083,36.5922,27.92015232,1971.15453,GJ,491.5822553,0.062076186
R_01a_BAU,IL,resid heating modern,2015,6.40342,d6,0.08557371,36.5922,31.31330311,2210.709977,GJ,491.5822553,0.044282136
R_01a_BAU,IL,resid heating modern,2015,6.40342,d7,0.09707846,36.5922,35.52314424,2507.923521,GJ,491.5822553,0.029122191
R_01a_BAU,IL,resid heating modern,2015,6.40342,d8,0.1130745,36.5922,41.37644719,2921.164985,GJ,491.5822553,0.016261761
R_01a_BAU,IL,resid heating modern,2015,6.40342,d9,0.1416037,36.5922,51.81590911,3658.187922,GJ,491.5822553,0.005752242
R_01a_BAU,IL,resid heating modern,2015,6.40342,d10,0.2765546,36.5922,101.1974123,7144.507506,GJ,491.5822553,4.21620075522235e-05
R_01a_BAU,IN,resid heating modern,2015,6.72903,d1,0.03729395,29.7639,11.10013398,745.745487,GJ,386.2811983,0.262324286
R_01a_BAU,IN,resid heating modern,2015,6.72903,d2,0.05473474,29.7639,16.29119328,1094.498849,GJ,386.2811983,0.14029883
R_01a_BAU,IN,resid heating modern,2015,6.72903,d3,0.06458485,29.7639,19.22297017,1291.465785,GJ,386.2811983,0.098527435
R_01a_BAU,IN,resid heating modern,2015,6.72903,d4,0.07290398,29.7639,21.6990677,1457.818602,GJ,386.2811983,0.0731001
R_01a_BAU,IN,resid heating modern,2015,6.72903,d5,0.08091899,29.7639,24.08464726,1618.090108,GJ,386.2811983,0.054829962
R_01a_BAU,IN,resid heating modern,2015,6.72903,d6,0.08961445,29.7639,26.67275528,1791.968179,GJ,386.2811983,0.04013417
R_01a_BAU,IN,resid heating modern,2015,6.72903,d7,0.1001027,29.7639,29.79446753,2001.69563,GJ,386.2811983,0.027546924
R_01a_BAU,IN,resid heating modern,2015,6.72903,d8,0.1142778,29.7639,34.01353011,2285.146883,GJ,386.2811983,0.016564517
R_01a_BAU,IN,resid heating modern,2015,6.72903,d9,0.1389728,29.7639,41.36372522,2778.958475,GJ,386.2811983,0.006828889
R_01a_BAU,IN,resid heating modern,2015,6.72903,d10,0.2476337,29.7639,73.70544683,4951.787467,GJ,386.2811983,0.000138375
R_01a_BAU,KS,resid heating modern,2015,6.23333,d1,0.03666073,31.6082,11.58779686,840.4185524,GJ,445.2433081,0.270265829
R_01a_BAU,KS,resid heating modern,2015,6.23333,d2,0.05384869,31.6082,17.02060163,1234.439088,GJ,445.2433081,0.146350083
R_01a_BAU,KS,resid heating modern,2015,6.23333,d3,0.06360577,31.6082,20.10463899,1458.112513,GJ,445.2433081,0.103315831
R_01a_BAU,KS,resid heating modern,2015,6.23333,d4,0.07189068,31.6082,22.72334992,1648.037593,GJ,445.2433081,0.076870216
R_01a_BAU,KS,resid heating modern,2015,6.23333,d5,0.07991328,31.6082,25.25914937,1831.949421,GJ,445.2433081,0.057731774
R_01a_BAU,KS,resid heating modern,2015,6.23333,d6,0.08866434,31.6082,28.02520192,2032.560625,GJ,445.2433081,0.042245574
R_01a_BAU,KS,resid heating modern,2015,6.23333,d7,0.09929543,31.6082,31.38549811,2276.270045,GJ,445.2433081,0.02890738
R_01a_BAU,KS,resid heating modern,2015,6.23333,d8,0.113778,31.6082,35.9631778,2608.271632,GJ,445.2433081,0.017240177
R_01a_BAU,KS,resid heating modern,2015,6.23333,d9,0.1392532,31.6082,44.01542996,3192.27066,GJ,445.2433081,0.006945423
R_01a_BAU,KS,resid heating modern,2015,6.23333,d10,0.2542194,31.6082,80.35417639,5827.780847,GJ,445.2433081,0.000114769
R_01a_BAU,KY,resid heating modern,2015,8.58157,d1,0.03664228,25.905,9.492182634,500.0509004,GJ,270.9319245,0.278226181
R_01a_BAU,KY,resid heating modern,2015,8.58157,d2,0.05383265,25.905,13.94534798,734.6449267,GJ,270.9319245,0.152666134
R_01a_BAU,KY,resid heating modern,2015,8.58157,d3,0.06359484,25.905,16.4742433,867.8678566,GJ,270.9319245,0.108572521
R_01a_BAU,KY,resid heating modern,2015,8.58157,d4,0.07188579,25.905,18.6220139,981.013027,GJ,270.9319245,0.081284054
R_01a_BAU,KY,resid heating modern,2015,8.58157,d5,0.07991544,25.905,20.70209473,1090.592281,GJ,270.9319245,0.061411943
R_01a_BAU,KY,resid heating modern,2015,8.58157,d6,0.08867443,25.905,22.97111109,1210.124713,GJ,270.9319245,0.045231547
R_01a_BAU,KY,resid heating modern,2015,8.58157,d7,0.09931424,25.905,25.72735387,1355.324372,GJ,270.9319245,0.031196899
R_01a_BAU,KY,resid heating modern,2015,8.58157,d8,0.1138064,25.905,29.48154792,1553.09639,GJ,270.9319245,0.018809131
R_01a_BAU,KY,resid heating modern,2015,8.58157,d9,0.1392862,25.905,36.08209011,1900.814844,GJ,270.9319245,0.007727196
R_01a_BAU,KY,resid heating modern,2015,8.58157,d10,0.2541722,25.905,65.84330841,3468.644349,GJ,270.9319245,0.000139965
R_01a_BAU,LA,resid heating modern,2015,7.74016,d1,0.03507435,31.47,11.03789795,644.6905636,GJ,355.5793669,0.284584543
R_01a_BAU,LA,resid heating modern,2015,7.74016,d2,0.05188959,31.47,16.32965397,953.7661859,GJ,355.5793669,0.155794071
R_01a_BAU,LA,resid heating modern,2015,7.74016,d3,0.06162229,31.47,19.39253466,1132.659874,GJ,355.5793669,0.109926218
R_01a_BAU,LA,resid heating modern,2015,7.74016,d4,0.07000913,31.47,22.03187321,1286.815735,GJ,355.5793669,0.081394386
R_01a_BAU,LA,resid heating modern,2015,7.74016,d5,0.07823304,31.47,24.61993769,1437.976831,GJ,355.5793669,0.06062098
R_01a_BAU,LA,resid heating modern,2015,7.74016,d6,0.08729181,31.47,27.47073261,1604.483224,GJ,355.5793669,0.04381878
R_01a_BAU,LA,resid heating modern,2015,7.74016,d7,0.098402,31.47,30.9671094,1808.696122,GJ,355.5793669,0.02942901
R_01a_BAU,LA,resid heating modern,2015,7.74016,d8,0.1136711,31.47,35.77229517,2089.352633,GJ,355.5793669,0.01702843
R_01a_BAU,LA,resid heating modern,2015,7.74016,d9,0.1406176,31.47,44.25235872,2584.64775,GJ,355.5793669,0.006484293
R_01a_BAU,LA,resid heating modern,2015,7.74016,d10,0.2643416,31.47,83.18830152,4858.779566,GJ,355.5793669,7.70202625567739e-05
R_01a_BAU,MA,resid heating modern,2015,8.49798,d1,0.03156946,43.8658,13.84819618,736.7029013,GJ,484.4636736,0.348527249
R_01a_BAU,MA,resid heating modern,2015,8.49798,d2,0.04755782,43.8658,20.86161821,1109.806249,GJ,484.4636736,0.204363077
R_01a_BAU,MA,resid heating modern,2015,8.49798,d3,0.05723393,43.8658,25.10612127,1335.607333,GJ,484.4636736,0.147943869
R_01a_BAU,MA,resid heating modern,2015,8.49798,d4,0.06584354,43.8658,28.88279557,1536.520642,GJ,484.4636736,0.110982874
R_01a_BAU,MA,resid heating modern,2015,8.49798,d5,0.07450985,43.8658,32.68434178,1738.757098,GJ,484.4636736,0.083098426
R_01a_BAU,MA,resid heating modern,2015,8.49798,d6,0.0842463,43.8658,36.95531347,1965.966274,GJ,484.4636736,0.060036089
R_01a_BAU,MA,resid heating modern,2015,8.49798,d7,0.0964134,43.8658,42.29250922,2249.896942,GJ,484.4636736,0.039993287
R_01a_BAU,MA,resid heating modern,2015,8.49798,d8,0.1134201,43.8658,49.75263423,2646.764206,GJ,484.4636736,0.022666615
R_01a_BAU,MA,resid heating modern,2015,8.49798,d9,0.1436235,43.8658,63.00159726,3351.588819,GJ,484.4636736,0.008268592
R_01a_BAU,MA,resid heating modern,2015,8.49798,d10,0.2867881,43.8658,125.8018944,6692.468776,GJ,484.4636736,6.94252120632609e-05
